Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M,Length_discretized,Diameter_discretized,Height_discretized,Whole weight_discretized,Shucked weight_discretized,Viscera weight_discretized,Shell weight_discretized,Rings_discretized,Length_z_score,Diameter_z_score,Height_z_score,Whole weight_z_score,Shucked weight_z_score,Viscera weight_z_score,Shell weight_z_score,Rings_z_score,prediction
0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8,0,1,0,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.2849387673410868,-0.38358704504431107,-0.7515646731860145,-0.594529132042989,-0.40085750343517823,-0.7054435116690594,-0.7179231922712581,-0.6049189858587191,9
0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.20177565408621914,-0.2828302687747163,0.014163178430030454,-0.3969516534240146,-0.37415337378742003,-0.34729522555633624,-0.43483256762603356,-0.6049189858587191,9
0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.16019409745878532,-0.2324518806399189,-0.24107943877531798,-0.38074016799886795,-0.21170325176355784,-0.29289295424807443,-0.6283375515607441,-0.916801183533873,9
0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",0.006132129050949989,-0.2324518806399189,-1.0068072903913625,-0.6482296775137874,-0.5121247103008374,-0.7326446473231901,-0.6713386591017909,-0.6049189858587191,9
0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(0.999, 8.0]",0.08929524230581765,0.12019683630366221,-0.3687007473779922,-0.18924199641432335,-0.026999688366563843,0.0743223770826924,-0.42766571636919243,-0.6049189858587191,9
0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",0.08929524230581765,0.12019683630366221,-0.24107943877531798,-0.2682729878619132,-0.21615394003818422,-0.2248901151127472,-0.2556612862050053,-0.6049189858587191,9
0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(9.0, 11.0]",0.13087679893325146,-0.2324518806399189,0.014163178430030454,-0.1335150152653819,-0.15384430419341508,-0.5921054464435139,-0.019155194729247895,0.018845409491588694,9
0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,9,1,0,0,"(0.45, 0.545]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.17245835556068528,0.22095361257325696,0.5246484128407266,0.025560185468869425,0.14880249848117766,0.03805419621051787,-0.05857287664187396,-0.2930367881835652,9
0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9,0,0,1,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.2140399121881191,0.019440060034067442,-0.24107943877531798,0.07926073093966779,0.3757876004871222,0.2737973718796521,-0.18757619926501445,-0.2930367881835652,9
0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11,0,1,0,"(0.545, 0.615]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",0.2140399121881191,0.12019683630366221,-0.6239433645833403,-0.33109249388435624,-0.30516770553071154,-0.40169749686459777,-0.21624360429237902,0.3307276071667426,9
0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.33878458207041967,0.32171038884285175,-0.11345813017264376,-0.0028099140251371993,0.14212646606923812,-0.0707503464060057,-0.008404917843986188,-0.2930367881835652,9
0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11,1,0,0,"(0.545, 0.615]","(0.48, 0.65]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(9.0, 11.0]",0.505110808580155,0.7751158820560275,0.2694057956353782,0.5017725698325516,0.23781626397370478,0.2737973718796521,0.8372835304632674,0.3307276071667426,9
0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.5882739218350226,0.5736023295168386,0.2694057956353782,0.1775428613296192,0.3223793411916058,-0.04354921075187482,0.16359951232020115,-0.2930367881835652,9
0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.7961817049721918,0.825494270190825,0.5246484128407266,0.45516454923525523,0.5871952935318744,0.5684763414660698,0.2388514505170331,-0.2930367881835652,9
0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.329, 1.005]","(8.0, 9.0]",1.004089488109361,0.8758726583256223,0.2694057956353782,0.7662224258302561,1.0767710037407743,0.373534869278132,0.7154470590969685,-0.2930367881835652,9
0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.115, 0.14]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.234, 0.329]","(0.999, 8.0]",1.0456710447367947,0.9262510464604198,0.014163178430030454,0.8239758426573409,1.1368552954482305,0.491406457112699,0.5792768852169868,-0.6049189858587191,9
0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.170415714619096,1.1781429871344067,1.8008614988674674,1.6467087279835322,2.0336689827854424,1.4343791597892364,1.3497133953274085,0.018845409491588694,9
0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.3783234977562644,1.3292781515387988,1.4179975730594454,0.8533591599904191,1.6420084146183225,1.9602677824357664,1.5969697636884277,0.6426098048418964,9
0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.5030681676385658,1.631548480347582,1.162754955854097,1.8838017023263014,1.7176701152869707,1.7335916519846757,1.783307896366297,0.018845409491588694,9
0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",1.5446497242659998,0.9262510464604198,0.2694057956353782,0.9830510433915922,1.4350514098481966,0.9084905371427056,0.29260283494334166,0.018845409491588694,9
0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",1.6278128375208674,1.782683644751974,2.0561041160728157,2.1938463610822305,2.467611089561513,2.418153565946969,1.7188062350547266,0.3307276071667426,9
0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.6278128375208674,1.6819268684823794,1.9284828074701417,2.5707633972168904,2.2050204813585577,2.730966625969474,2.600328939646186,0.6426098048418964,9
0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.329, 1.005]","(9.0, 11.0]",1.710975950775735,1.480413315943191,1.0351336472514228,1.7389115513390536,1.3104321381586583,0.13779169360899785,1.8227255782789231,0.018845409491588694,9
0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",2.0852099604226395,1.631548480347582,2.0561041160728157,2.432965771103144,1.6642618559914544,2.6674973094431684,3.00525603565771,2.202020793217666,9
0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.16019409745878532,-0.18207349250512153,-0.6239433645833403,-0.3473039793095029,-0.25175944623519514,-0.23395716033079084,-0.45991654702497753,-0.6049189858587191,9
0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(9.0, 11.0]",0.04771368567838381,0.17057522443845957,-0.24107943877531798,-0.17404372882824828,-0.274012887608327,-0.41529806469166325,0.041763040953901785,0.018845409491588694,9
0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.16019409745878532,-0.2324518806399189,-0.6239433645833403,-0.43646714914780943,-0.5254767751247165,-0.6691753307968848,-0.20907675303553788,0.3307276071667426,9
0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-0.9086621167525937,-1.0888844789314738,-1.0068072903913625,-1.004882356867013,-0.9193626874291496,-1.022790094300586,-1.033264647572268,-0.916801183533873,9
0.5,0.39,0.145,0.651,0.273,0.132,0.22,11,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.14, 0.165]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.20177565408621914,-0.18207349250512153,0.14178448703270397,-0.3655419004127929,-0.39195612688592546,-0.44703272295481594,-0.1374082404671265,0.3307276071667426,9
0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8,0,0,1,"(0.45, 0.545]","(0.054, 0.35]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(-0.0005, 0.0934]","(0.13, 0.234]","(0.999, 8.0]",-0.4512649938508221,-0.5851005975835005,-1.0068072903913625,-0.7171284905706604,-0.7680392860918532,-0.8414491899397137,-0.45991654702497753,-0.6049189858587191,9
0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(9.0, 11.0]",-1.0334067866348948,-0.9881277026618791,-0.6239433645833403,-0.9825915644074364,-0.9505175053515342,-1.0137230490825424,-0.8899276224354454,0.018845409491588694,9
0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(9.0, 11.0]",-1.2828961263994976,-1.1896412552010687,-1.0068072903913625,-1.1781426073482677,-1.1507984777097207,-1.1859969082253712,-1.1049331601406793,0.018845409491588694,9
0.41,0.31,0.11,0.315,0.124,0.082,0.095,9,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-0.9502436733800276,-0.9881277026618791,-0.7515646731860145,-1.0464242882689512,-1.0551086798052538,-0.9003849838569972,-1.033264647572268,-0.2930367881835652,9
0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-1.2413145697720638,-1.1896412552010687,-1.0068072903913625,-1.1254552797165411,-1.0840381535903252,-1.1315946369171097,-1.1049331601406793,-0.2930367881835652,9
0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.2849387673410868,-0.2324518806399189,-0.3687007473779922,-0.591489478525774,-0.6389693261276888,-0.4833009038269905,-0.5315850595933888,0.3307276071667426,9
0.585,0.48,0.185,1.04,0.434,0.265,0.285,10,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.505110808580155,0.7247374939212302,1.162754955854097,0.42274157838496196,0.32460468532891895,0.7588842910449861,0.32843709122754694,0.018845409491588694,9
0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(11.0, 29.0]",0.5882739218350226,0.47284555324724387,0.39702710423805243,0.42476801406310505,0.24449229638564432,0.26473032666160845,0.9017851917748376,1.2663742001922043,9
0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.253578827873964,1.4300349278083935,1.0351336472514228,1.7368851156609102,0.8942927844810937,1.7154575615485883,2.585995237132504,1.5782563978673583,9
0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.170415714619096,1.2788997634040014,2.1837254246754902,2.7399707763418584,1.7465995890720418,1.9013319885184827,4.6285478453322275,5.320842769969205,9
0.325,0.25,0.055,0.166,0.076,0.051,0.045,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6571301360464017,-1.5926683602794471,-2.15539906781543,-1.348363204312307,-1.2687417169873192,-1.1814633856163497,-1.391607210414325,-1.5405655788841808,9
0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9,0,1,0,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.0005, 0.13]","(8.0, 9.0]",-0.5760096637331231,-0.5347222094487032,-1.5172925248020592,-0.7688026003633153,-0.6434200144023151,-0.7417116925412337,-0.8182591098670341,-0.2930367881835652,9
0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.171, 0.253]","(0.13, 0.234]","(0.999, 8.0]",0.006132129050949989,-0.03093832810072938,-0.24107943877531798,-0.2287574921381182,-0.15384430419341508,0.14685873882704145,-0.45991654702497753,-0.6049189858587191,9
0.385,0.29,0.09,0.232,0.0855,0.0495,0.08,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.1581514565171962,-1.1896412552010687,-1.262049907596711,-1.2146184495548475,-1.2264601783783686,-1.1950639534434149,-1.1407674164248849,-0.916801183533873,9
0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-3.2788108445163195,-3.1543983924581647,-2.665884302226126,-1.6634739522635948,-1.584740584485791,-1.5849468978192909,-1.6890315375732317,-1.8524477765593348,9
0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.8629952782419816,-2.801749675514583,-2.410641685020778,-1.6290245457351582,-1.5513604224260933,-1.553212239556138,-1.6496138556606055,-2.1643299742344886,9
0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.781874805928703,-1.8445603009534337,-2.283020376418104,-1.3919315713923888,-1.3065725673216433,-1.2948014508418948,-1.391607210414325,-1.228683381209027,9
0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.2413145697720638,-1.1896412552010687,-1.5172925248020592,-1.1132966656476813,-0.9816723232739187,-0.9865219134284117,-1.1407674164248849,-0.916801183533873,9
0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.36810188059595444,-0.2828302687747163,-0.4963220559806664,-0.4526786345729561,-0.4030828475724914,-0.3699628386014451,-0.38824803445656614,-0.6049189858587191,9
0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9,0,1,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.001, 0.442]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(8.0, 9.0]",-0.5760096637331231,-0.38358704504431107,-0.3687007473779922,-0.8073048782480385,-0.7124056826590237,-0.49690147165405596,-0.6749220847302115,-0.2930367881835652,9
0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-0.8254990034977261,-0.8369925382574869,-1.0068072903913625,-1.017040970935873,-0.9994750763724242,-0.9865219134284117,-0.9257618787196512,-0.916801183533873,9
0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9,0,1,0,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.0, 0.186]","(0.0934, 0.171]","(0.13, 0.234]","(8.0, 9.0]",-0.40968343722338824,-0.4843438213139058,-0.7515646731860145,-0.7617100754898136,-0.8192222012500565,-0.7689128281953647,-0.6749220847302115,-0.2930367881835652,9
0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.0005, 0.13]","(9.0, 11.0]",-0.7423358902428584,-0.5851005975835005,-0.4963220559806664,-0.7556307684553836,-0.752461877130661,-0.737178169932212,-0.7824248535828284,0.3307276071667426,9
0.385,0.295,0.095,0.335,0.147,0.094,0.09,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(0.0934, 0.171]","(0.0005, 0.13]","(0.999, 8.0]",-1.1581514565171962,-1.1392628670662712,-1.1344285989940368,-1.0058955747060847,-0.9527428494888475,-0.7915804412404738,-1.0690989038564738,-0.916801183533873,9
0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.13, 0.234]","(0.999, 8.0]",-0.4512649938508221,-0.3332086569095137,-0.6239433645833403,-0.8204767101559702,-0.8570530515843805,-0.9593207777742808,-0.6390878284460059,-0.6049189858587191,9
0.4,0.31,0.1,0.127,0.106,0.071,0.085,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.0334067866348948,-0.9881277026618791,-1.0068072903913625,-1.427394195759897,-1.1352210687485285,-1.0001224812554772,-1.1049331601406793,-0.916801183533873,9
0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(11.0, 29.0]",0.7961817049721918,1.0270078227300146,0.9075123386487486,0.6466627208197998,0.3401820942901112,0.40980305015030655,1.1526249857642776,0.6426098048418964,9
0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.5882739218350226,0.6239807176516354,0.2694057956353782,0.1218158801806775,-0.009196935268058374,0.26473032666160845,0.041763040953901785,0.6426098048418964,9
0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6987116926738355,-1.6934251365490418,-1.5172925248020592,-1.3199931048183005,-1.2509389638888138,-1.2948014508418948,-1.3199386978459133,-1.228683381209027,9
0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.03544942757648384,0.019440060034067442,-0.3687007473779922,-0.26928620570098477,-0.2962663289814588,-0.17048784380448542,-0.1732424967513322,0.018845409491588694,9
0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-0.7007543336154246,-0.5851005975835005,-0.7515646731860145,-0.7556307684553836,-0.7168563709336501,-0.8414491899397137,-0.7824248535828284,-0.2930367881835652,9
0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(0.0934, 0.171]","(0.0005, 0.13]","(0.999, 8.0]",-0.7007543336154246,-0.7866141501226895,-0.6239433645833403,-0.8731640377876967,-0.9705456025873529,-0.6193065820976449,-0.8540933661512398,-0.6049189858587191,9
0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12,0,0,1,"(0.545, 0.615]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(11.0, 29.0]",0.33878458207041967,0.17057522443845957,-1.0068072903913625,-0.23686323485069152,-0.24730875796056878,-0.1387531855413327,-0.42408229074077186,0.6426098048418964,9
0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(9.0, 11.0]",0.5466923652075888,0.47284555324724387,0.9075123386487486,0.2727853382023555,0.13322508951998538,0.5820769092931353,0.5076083726485754,0.018845409491588694,9
0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(11.0, 29.0]",0.3803661386978535,0.5736023295168386,1.0351336472514228,0.3406709334201572,0.19553472536475452,0.8676888336615097,0.40010560379595833,1.890138595542512,9
0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.2951603845013977,1.2285213752692041,1.6732401902647933,1.3467962476183197,0.985531894110934,1.4117115467441272,1.6184703174589512,1.2663742001922043,9
0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10,1,0,0,"(0.074, 0.45]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.6175912203605569,-0.4843438213139058,-0.3687007473779922,-0.658361855904504,-0.6189412288918701,-0.6918429438419939,-0.5674193158775944,0.018845409491588694,9
